3,1,3,2,2,2,2,2,4,16,24,36,54,36,2,1,2,32,64,32,8,4,8,81.6106185913086
4,1,4,3,1,1,1,1,1,16,24,24,36,24,1,1,2,16,32,32,8,2,2,80.96537780761719
4,4,2,2,2,4,2,1,4,16,24,24,36,24,4,2,2,16,64,64,4,2,2,83.09963989257812
4,2,3,4,4,4,1,2,2,16,24,48,80,48,4,4,1,64,128,128,4,8,4,82.87628936767578
2,4,1,2,1,4,2,4,4,16,32,64,64,64,2,2,4,128,64,64,8,8,2,83.8193359375
3,1,4,2,4,2,2,1,4,24,24,36,72,36,4,4,4,32,64,64,2,2,2,82.92591857910156
3,2,2,1,1,1,4,1,2,8,12,24,48,24,1,2,1,32,32,32,8,4,4,78.95520782470703
3,2,2,3,4,4,1,1,2,16,16,24,24,24,1,2,2,16,32,32,2,2,4,81.25077819824219
1,4,3,4,1,1,4,1,4,8,8,8,16,8,1,2,1,8,16,16,8,8,2,75.92753601074219
3,4,3,4,4,4,4,1,2,8,12,18,18,18,2,1,2,16,16,32,4,2,8,80.24568939208984
2,4,4,3,1,2,2,2,1,24,24,24,36,24,2,4,1,16,32,32,2,2,4,81.37486267089844
2,2,2,4,1,4,1,4,1,24,48,48,48,48,1,1,2,32,32,64,4,8,2,83.32299041748047
4,1,3,3,2,4,2,2,2,8,8,8,12,8,1,2,2,8,16,16,4,8,2,79.29023742675781
4,3,1,1,2,2,2,2,2,32,32,64,64,64,4,4,1,128,64,128,8,4,2,83.64561462402344
2,3,1,2,4,1,4,4,2,8,8,8,12,8,2,1,4,8,16,8,2,4,2,78.40923309326172
4,4,4,4,1,1,2,4,2,8,16,32,48,32,1,4,2,32,32,128,4,2,8,79.76175689697266
3,3,1,3,1,2,1,4,2,16,32,48,96,48,2,2,2,32,128,64,8,8,8,82.05732727050781
2,2,2,2,1,1,2,1,1,24,36,72,72,72,1,2,2,128,64,64,4,2,4,82.24345397949219
2,1,4,1,2,1,2,2,1,16,16,16,32,16,2,1,4,16,32,32,8,8,2,80.07196807861328
3,2,3,1,2,2,4,2,1,8,12,18,27,18,2,2,4,32,16,32,2,2,4,79.97270202636719
3,3,2,3,1,1,4,1,1,8,16,24,36,24,4,2,4,16,32,32,8,4,4,79.93547821044922
3,3,2,3,4,2,1,1,2,8,12,18,27,18,2,1,1,32,16,16,4,4,8,80.10919189453125
1,3,2,3,1,4,1,1,4,16,24,36,72,36,4,4,2,32,64,256,4,4,2,82.23104858398438
1,1,1,4,2,1,1,4,4,16,24,48,48,48,1,2,1,32,32,32,4,2,8,81.56098937988281
2,2,2,2,4,4,1,2,4,8,16,32,32,32,4,4,1,32,32,64,2,8,8,81.70989227294922
4,3,4,2,1,2,4,1,1,16,16,16,24,16,2,2,1,32,32,32,4,2,8,79.81139373779297
2,1,3,2,4,1,2,4,1,24,36,54,81,54,4,2,1,32,64,128,4,8,4,83.06241607666016
4,1,3,3,4,2,4,1,1,16,24,48,96,48,1,1,2,32,64,128,8,4,2,81.38726806640625
2,1,2,4,1,2,1,2,1,16,24,36,54,36,1,2,1,32,64,128,2,2,4,81.06465148925781
3,1,1,3,4,1,4,2,2,8,8,12,24,12,2,4,1,16,16,16,4,8,2,78.23551177978516
4,2,3,2,2,2,2,2,2,16,32,32,32,32,4,1,1,64,32,32,4,4,4,82.36753845214844
4,4,2,1,2,1,2,1,2,32,48,72,72,72,1,2,2,128,64,64,8,4,4,83.12445831298828
2,1,3,3,4,2,1,1,4,16,16,32,64,32,1,1,4,32,64,128,4,8,8,81.92083740234375
4,3,4,1,1,1,4,4,2,32,48,48,96,48,4,1,1,64,128,128,8,2,8,82.31790924072266
2,2,3,3,2,2,4,2,2,8,12,12,18,12,1,4,4,8,32,16,4,8,8,77.3172836303711
4,4,1,2,2,4,1,4,1,8,12,18,18,18,2,4,1,32,16,32,8,2,2,80.45663452148438
1,1,2,1,1,4,4,4,4,24,48,96,128,96,1,2,2,64,128,128,2,4,2,84.57624816894531
3,2,2,3,1,1,2,2,4,32,48,48,72,48,2,1,1,32,64,64,4,2,4,83.09963989257812
4,4,4,1,2,1,2,4,2,24,24,36,54,36,1,1,2,64,32,32,8,8,8,81.18873596191406
2,2,1,1,2,2,2,1,4,24,36,54,81,54,4,1,1,32,64,64,8,4,8,83.14927673339844
1,1,2,1,4,4,4,1,4,32,32,48,48,48,4,1,1,32,32,64,8,4,2,82.82665252685547
1,2,1,3,4,4,1,4,2,24,48,96,128,96,4,1,2,128,128,256,4,4,8,84.55143737792969
1,2,4,1,2,4,2,1,2,24,48,72,108,72,1,1,4,128,64,64,4,8,2,82.8886947631836
1,1,2,3,4,2,1,1,2,32,48,72,108,72,2,1,1,64,128,128,4,2,4,83.74488067626953
3,1,2,2,1,2,4,2,1,16,24,36,36,36,4,2,1,32,64,32,8,2,4,80.50626373291016
2,3,1,1,2,4,2,1,2,24,36,54,54,54,4,4,2,32,32,32,4,2,8,83.01277923583984
2,2,2,3,1,1,2,2,2,16,32,48,48,48,1,1,2,32,32,64,8,4,8,81.62303161621094
2,2,2,2,4,1,2,4,4,32,32,32,64,32,2,1,4,32,128,256,8,2,4,82.1565933227539
2,3,2,3,1,4,1,1,2,32,48,48,72,48,2,4,2,64,64,128,4,4,4,83.9186019897461
2,1,3,1,4,1,1,1,4,16,32,48,72,48,2,4,4,32,128,128,2,2,4,82.36753845214844
1,4,2,3,1,4,1,2,1,8,12,12,12,12,2,2,1,8,8,32,2,8,8,78.32237243652344
3,2,2,4,4,2,2,4,1,16,16,24,24,24,1,4,1,32,16,16,2,2,2,81.20114135742188
3,1,3,2,1,1,2,1,1,16,16,16,16,16,4,4,1,16,16,32,2,4,8,78.75666809082031
1,1,1,1,1,1,4,2,1,32,32,32,32,32,2,2,4,64,32,32,8,2,8,80.9157485961914
4,2,1,4,1,4,2,4,2,16,32,64,64,64,2,2,2,64,128,128,2,4,2,81.42449188232422
3,2,3,3,4,1,2,2,4,32,48,48,96,48,1,2,2,64,64,256,2,4,8,83.2857666015625
1,3,1,2,2,2,2,2,2,32,48,48,96,48,2,4,2,32,128,256,4,4,2,82.7894287109375
2,3,1,2,4,4,1,2,2,24,36,36,54,36,1,4,1,32,32,64,4,4,4,83.26094818115234
1,4,4,4,2,1,4,2,2,16,16,16,24,16,1,1,1,32,16,32,2,2,8,78.53331756591797
3,2,3,1,2,2,2,2,1,8,12,12,24,12,2,2,2,8,16,16,8,4,2,78.73184967041016
2,2,2,2,1,2,4,1,2,8,8,16,24,16,4,2,2,16,16,32,2,2,8,77.71435546875
1,3,3,3,4,1,1,1,4,16,16,16,32,16,4,2,1,16,32,32,4,4,8,79.61285400390625
2,3,2,2,1,1,2,1,1,24,24,24,24,24,1,4,2,16,16,32,8,4,4,80.15882873535156
2,4,3,2,1,2,1,1,1,8,16,16,24,16,2,1,1,16,16,32,4,4,8,78.08660888671875
3,4,3,1,1,4,1,2,4,8,16,16,16,16,1,2,1,16,16,16,2,8,4,79.91065979003906
3,4,2,1,2,1,4,1,2,24,48,96,96,96,4,4,1,64,64,64,4,2,4,82.95073699951172
2,1,1,4,1,1,2,1,2,8,8,12,12,12,4,4,4,8,8,16,2,8,8,77.59027099609375
2,2,4,4,2,1,2,2,4,8,8,12,12,12,4,2,1,8,8,16,8,2,2,77.63990783691406
4,3,3,3,4,1,2,4,4,16,24,36,36,36,4,2,2,32,32,64,2,4,2,81.3996810913086
1,1,1,2,1,2,1,1,4,8,12,24,48,24,1,2,2,16,32,128,8,4,2,79.99752044677734
2,2,4,4,1,4,1,2,1,16,16,24,36,24,1,4,4,32,32,32,8,4,8,81.25077819824219
3,2,1,1,2,1,2,2,2,32,32,64,128,64,4,4,1,128,128,256,2,2,8,84.07991027832031
